,id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved,file_exists,merged_text
0,209650955,Триммер садовый электрический для травы,Модель беспроводной; аккумуляторный; ручной Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч Время работы от аккумулятора 120 минут,res/img/209650955.png,PNG,RGBA,"(246, 328)",171.35,2024-03-21 11:10:04.299254016,True,триммер садовый электрический для травы модель беспроводной аккумуляторный ручной тип аккумулятора liion емкость аккумулятора 1500 мач время работы от аккумулятора 120 минут
1,77278318,Триммер аккумуляторный садовый дачный кусторез,Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/77278318.png,PNG,RGBA,"(246, 328)",160.0,2024-03-21 11:13:44.241293056,True,триммер аккумуляторный садовый дачный кусторез модель разборная модель питание аккумулятор (в комплекте) тип двигателя электрический комплектация инструкция на русском языке зарядное устройство 1шт лезвия  2шт триммер садовый  1шт
2,18565737,"Триммер аккумуляторный ZITREK GreenCut 20 (20В, акб 2шт)",Модель GreenCut 20 Гарантийный срок 1 год Тип аккумулятора Li-lon Емкость аккумулятора 1500 мА*ч,res/img/18565737.png,PNG,RGBA,"(246, 328)",17.67,2024-03-21 11:13:58.767094016,True,"триммер аккумуляторный zitrek greencut 20 (20в, акб 2шт) модель greencut 20 гарантийный срок 1 год тип аккумулятора lilon емкость аккумулятора 1500 мач"
3,113066515,Триммер аккумуляторный садовый дачный кусторез,Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/113066515.png,PNG,RGBA,"(246, 328)",128.9,2024-03-21 11:14:13.620366080,True,триммер аккумуляторный садовый дачный кусторез модель разборная модель питание аккумулятор (в комплекте) тип двигателя электрический комплектация инструкция на русском языке зарядное устройство 1шт лезвия  2шт триммер садовый  1шт
4,151530782,Триммер-газонокосилка аккумуляторный ZITREK GreenCut 20 Pro,Модель GreenCut 20 Pro Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1.5 ма*ч; 1.5,res/img/151530782.png,PNG,RGBA,"(246, 328)",128.13,2024-03-21 11:14:27.381707008,True,триммергазонокосилка аккумуляторный zitrek greencut 20 pro модель greencut 20 pro гарантийный срок 1 год тип аккумулятора liion емкость аккумулятора 1.5 мач 1.5
5,164885226,Триммер для травы аккумуляторный садовый ручной мощный,Количество аккумуляторов в комплекте 2 Страна производства Китай Длина предмета 125 см Длина упаковки 16 см Высота упаковки 89 см Ширина упаковки 11 см,res/img/164885226.png,PNG,RGBA,"(246, 328)",121.28,2024-03-21 11:14:43.284983040,True,триммер для травы аккумуляторный садовый ручной мощный количество аккумуляторов в комплекте 2 страна производства китай длина предмета 125 см длина упаковки 16 см высота упаковки 89 см ширина упаковки 11 см
6,208141196,Триммер садовый,Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч Время работы от аккумулятора 60 мин Количество аккумуляторов в комплекте 1 шт. Питание от аккумулятора,res/img/208141196.png,PNG,RGBA,"(246, 328)",146.2,2024-03-21 11:14:59.755820032,True,триммер садовый гарантийный срок 1 год тип аккумулятора liion емкость аккумулятора 2000 мач время работы от аккумулятора 60 мин количество аккумуляторов в комплекте 1 шт. питание от аккумулятора
7,145821973,"Леска для триммера звезда 2,4мм 100м",Длина (м) 100 м Вес с упаковкой (кг) 0.7 кг Длина упаковки 13 см Высота упаковки 12 см Ширина упаковки 13 см,res/img/145821973.png,PNG,RGBA,"(246, 328)",90.83,2024-03-21 11:20:09.142525952,True,"леска для триммера звезда 2,4мм 100м длина (м) 100 м вес с упаковкой (кг) 0.7 кг длина упаковки 13 см высота упаковки 12 см ширина упаковки 13 см"
8,81408162,"Катушка для триммера, леска для триммера",Материал изделия алюминий; леска; сталь Комплектация ключ -1 шт; переходник -2 шт; леска для триммера; катушка для триммера; головка для триммера Страна производства Китай Высота предмета 6 см Ширина предмета 6 см Вес с упаковкой (кг) 0.3 кг,res/img/81408162.png,PNG,RGBA,"(246, 328)",154.14,2024-03-21 11:20:18.060780032,True,"катушка для триммера, леска для триммера материал изделия алюминий леска сталь комплектация ключ 1 шт переходник 2 шт леска для триммера катушка для триммера головка для триммера страна производства китай высота предмета 6 см ширина предмета 6 см вес с упаковкой (кг) 0.3 кг"
9,202528239,Кусторез триммер садовый аккумуляторный,Модель Ножницы-кусторез аккумуляторные CSH 360 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1200 мА*ч,res/img/202528239.png,PNG,RGBA,"(246, 328)",157.55,2024-03-21 11:20:27.292715008,True,кусторез триммер садовый аккумуляторный модель ножницыкусторез аккумуляторные csh 360 гарантийный срок 1 год тип аккумулятора liion емкость аккумулятора 1200 мач
10,209801388,Триммер аккумуляторный для травы садовый,Модель TM600-Li1-ECO; аккумуляторный; мощный Гарантийный срок 5 лет Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч,res/img/209801388.png,PNG,RGBA,"(246, 328)",133.76,2024-03-21 11:20:36.964269056,True,триммер аккумуляторный для травы садовый модель tm600li1eco аккумуляторный мощный гарантийный срок 5 лет тип аккумулятора liion емкость аккумулятора 2000 мач
11,145821971,Леска для триммера квадрат 3 мм 100 м,Длина (м) 15 м Вес с упаковкой (кг) 0.7 кг Длина упаковки 17 см Высота упаковки 8 см Ширина упаковки 17 см,res/img/145821971.png,PNG,RGBA,"(246, 328)",98.59,2024-03-21 11:20:45.451471104,True,леска для триммера квадрат 3 мм 100 м длина (м) 15 м вес с упаковкой (кг) 0.7 кг длина упаковки 17 см высота упаковки 8 см ширина упаковки 17 см
12,166091882,Триммер для травы аккумуляторный садовый ручной мощный,Емкость аккумулятора 1500мАч Количество аккумуляторов в комплекте 2 Мощность устройства 500W Частота вращения шпинделя (об/мин) 18000 об/мин Напряжение аккумулятора (Вольт) 21V Страна производства Китай,res/img/166091882.png,PNG,RGBA,"(246, 328)",136.77,2024-03-21 11:20:54.261868032,True,триммер для травы аккумуляторный садовый ручной мощный емкость аккумулятора 1500мач количество аккумуляторов в комплекте 2 мощность устройства 500w частота вращения шпинделя (об/мин) 18000 об/мин напряжение аккумулятора (вольт) 21v страна производства китай
13,208929943,Катушка для триммера садового леска,Материал изделия алюминий; пластик Совместимость бензиновый триммер; электрический триммер Комплектация катушка для триммера; леска для триммера; насадки для триммера; катушка для триммера универсальная; головка для триммера; шпулька для триммера; насадка триммеры бензиновый Страна производства Китай Высота предмета 6 см Ширина предмета 9 см,res/img/208929943.png,PNG,RGBA,"(246, 328)",150.16,2024-03-21 11:21:02.694833920,True,катушка для триммера садового леска материал изделия алюминий пластик совместимость бензиновый триммер электрический триммер комплектация катушка для триммера леска для триммера насадки для триммера катушка для триммера универсальная головка для триммера шпулька для триммера насадка триммеры бензиновый страна производства китай высота предмета 6 см ширина предмета 9 см
14,156114215,"Набор аккумуляторного инструмента ZITREK 2 в 1, 2х2.0Ач","Модель 20,GreenSaw 20 Extra Power set 2 in 1 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мАч",res/img/156114215.png,PNG,RGBA,"(246, 328)",52.72,2024-03-21 11:21:11.980748032,True,"набор аккумуляторного инструмента zitrek 2 в 1, 2х2.0ач модель 20,greensaw 20 extra power set 2 in 1 гарантийный срок 1 год тип аккумулятора liion емкость аккумулятора 2000 мач"
